
# e groceteria,Food Service Establishment 1,Vancouver - City Centre,1308 Burrard St Vancouver BC V6Z 2B7 Canada,(604) 559-6863,/Facility/Details/db951079-e67c-45ee-b239-55519e6ba4d8
#1 Orchard,Retail Food Store,Vancouver - City Centre,1689 Johnston St Vancouver BC V6H 3R9 Canada,(604) 728-5449,/Facility/Details/29e9ebcd-7cbd-4fd5-8c57-d5f613627819
#9 Restaurant,Food Service Establishment 1,Richmond,812-5300 No. 3 Road Richmond BC V6X 2X9 Canada,(604) 278-7700,/Facility/Details/6aa4eb7d-17ac-4956-bfc6-bd54a5999724
05 Tea,Food Service Establishment 1,Vancouver - Westside,2208 W 4th Ave Vancouver BC V6K 1N8 Canada,(604) 558-0500,/Facility/Details/c15e24c0-ebed-4fa6-b18d-4460ee637184
0755 Restaurant & Lounge,Food Service Establishment 1,Richmond,2188-3779 Sexsmith Road Richmond BC V6X 3Z9 Canada,(604) 233-0755,/Facility/Details/0c18a3cf-31ad-4da2-8d1f-040fe6627157
1 Dollar & Up Store,Retail Food Store,Vancouver - Midtown,702 E Broadway Vancouver BC V5T 1X9 Canada,,/Facility/Details/6286ea2f-5008-444b-af81-f4a667807aa6
1/2 Roll Japanese Grill & Sushi bar,Food Service Establishment 1,Vancouver - Midtown,4148 Main St Vancouver BC V5V 3P7 Canada,(604) 558-3776,/Facility/Details/661b2f1c-fdff-4a8c-8df3-c57a594b138f
1029 Cafe,Food Service Establishment 1,Richmond,9231 Beckwith Road Richmond BC V6X 1X7 Canada,(604) 279-1029,/Facility/Details/21c6b7c8-0057-4e40-b7a7-c7d55c0cc1a5
1034354 BC Ltd. dba The Zone Bowling,Food Service Establishment 1,Richmond,150-14200 Entertainment Blvd. Richmond BC V6W 1K3 Canada,(604) 271-2695,/Facility/Details/4b5c993d-7711-4806-b0c5-b5c2731d1d3b
1034355 BC Ltd. dba BRBCo Eatery & Brewery,Food Service Establishment 1,Richmond,180-14200 Entertainment Blvd. Richmond BC V6W 1K3 Canada,(604) 271-2695,/Facility/Details/f2d244d9-6f41-4480-be30-027056e02c68
1071196 BC Ltd. DBA Bubble World,Food Service Establishment 1,Richmond,1318-8368 Capstan Way Richmond BC V6X 4B4 Canada,(604) 232-5222,/Facility/Details/0e319e02-3321-489d-bf2c-29e747adf44c
1075 Connoisseur's Coffee Shop,Food Service Establishment 1,Vancouver - City Centre,#12-1075 W Georgia St Vancouver BC V6E 3C9 Canada,(604) 683-1486,/Facility/Details/8f350bbf-bc38-4674-a3e5-2e2cbf3cb787
1181,Food Service Establishment 1,Vancouver - City Centre,1181 Davie St Vancouver BC V6E 1N2 Canada,(604) 787-7130,/Facility/Details/25ce0ad1-b4b0-4b65-94b6-2537aa85e089
12 Baskets Nutrition & Health Co.,Retail Food Store,Vancouver - Westside,101-2048 W 41st Ave Vancouver BC V6M 1Y8 Canada,(604) 261-7838,/Facility/Details/bde7ab07-0bb0-486d-952e-7408e27ff243
12 Baskets Nutrition Group,Retail Food Store,Richmond,110-8231 Cambie Road Richmond BC V6X 1J8 Canada,(604) 270-1838,/Facility/Details/a23d5c6b-8d9a-4137-81ed-7f089a4cc05e
12 Baskets Trading Company Ltd.,Retail Food Store,Richmond,6600 No. 3 Road Richmond BC V6Y 2C2 Canada,(604) 270-7831,/Facility/Details/3a8f077c-9d72-4543-ab1b-a217ac22d2ce
12 Kings Pub - Lounge,Food Service Establishment 1,Vancouver - Midtown,395 Kingsway Vancouver BC V5T 3J7 Canada,604-568-1208,/Facility/Details/6a5c6583-bd64-486a-8052-3c2fc74f4bcc
12 Kings Pub - Restaurant,Food Service Establishment 1,Vancouver - Midtown,395 Kingsway Vancouver BC V5T 3J7 Canada,604-568-1208,/Facility/Details/5627ded7-71c6-4787-a2f4-938c46957f9d
131 Water Kitchen & Bar,Food Service Establishment 1,Vancouver - Downtown Eastside,#127-131 Water St Vancouver BC V6B 4M3 Canada,(604) 669-7219,/Facility/Details/ad00c13d-7a7b-4d96-8ade-b97918b8d70a
